iso3,country
ARE,United Arab Emirates
BHS,"Bahamas, The"
BOL,Bolivia
BRN,Brunei Darussalam
CIV,Cote d'Ivoire
COD,"Congo, Dem. Rep."
COG,"Congo, Rep."
CPV,Cabo Verde
CZE,Czechia
DEU,Germany
EGY,"Egypt, Arab Rep."
FRA,France
FSM,"Micronesia, Fed. Sts."
GBR,United Kingdom
GMB,"Gambia, The"
HKG,"Hong Kong SAR, China"
IRN,"Iran, Islamic Rep."
KGZ,Kyrgyz Republic
KNA,St. Kitts and Nevis
KOR,"Korea, Rep."
LAO,Lao PDR
LCA,St. Lucia
MAC,"Macao SAR, China"
MDA,Moldova
MKD,"Macedonia, FYR"
MMR,Myanmar
NGA,Nigeria
PHL,Philippines
PRK,"Korea, Dem. People's Rep."
PSE,West Bank and Gaza
RUS,Russian Federation
SVK,Slovak Republic
SWZ,Eswatini
SYR,Syrian Arab Republic
TLS,Timor-Leste
TTO,Trinidad and Tobago
TUR,Turkiye
TZA,Tanzania
USA,United States
VCT,St. Vincent and the Grenadines
VEN,"Venezuela, RB"
VNM,Vietnam
YEM,"Yemen, Rep."
